80.0	2.424
81.0	2.399
82.0	2.364
83.0	2.346
84.0	2.326
85.0	2.300
86.0	2.283
87.0	2.258
88.0	2.240
89.0	2.209
90.0	2.191
91.0	2.170
92.0	2.153
93.0	2.129
94.0	2.108
95.0	2.084
96.0	2.068
97.0	2.046
98.0	2.027
99.0	2.004
100.0	1.988
101.0	1.967
102.0	1.945
103.0	1.933
104.0	1.914
105.0	1.897
106.0	1.877
107.0	1.862
108.0	1.841
109.0	1.826
110.0	1.809
110.5	1.799
111.0	1.791
111.5	1.784
112.0	1.780
112.5	1.771
113.0	1.764
113.5	1.753
114.0	1.743
114.5	1.735
115.0	1.729
115.5	1.719
116.0	1.714
116.5	1.704
117.0	1.699
117.5	1.688
118.0	1.683
118.5	1.675
119.0	1.666
119.5	1.659
120.0	1.649
120.5	1.643
121.0	1.636
121.5	1.631
122.0	1.623
122.5	1.615
123.0	1.608
123.5	1.598
124.0	1.595
124.5	1.587
125.0	1.578
125.5	1.573
126.0	1.568
126.5	1.558
127.0	1.552
127.5	1.543
128.0	1.540
128.5	1.531
129.0	1.525
129.5	1.513
130.0	1.511
130.5	1.504
131.0	1.497
131.5	1.492
132.0	1.485
132.5	1.479
133.0	1.473
133.5	1.466
134.0	1.462
134.5	1.455
135.0	1.448
135.5	1.444
136.0	1.436
136.5	1.429
137.0	1.423
137.5	1.417
138.0	1.412
138.5	1.407
139.0	1.400
139.5	1.396
140.0	1.389
141.0	1.377
142.0	1.365
143.0	1.354
144.0	1.344
145.0	1.333
146.0	1.321
147.0	1.311
148.0	1.302
149.0	1.291
150.0	1.280
151.0	1.268
152.0	1.259
153.0	1.250
154.0	1.240
155.0	1.231
156.0	1.222
157.0	1.212
158.0	1.204
159.0	1.194
160.0	1.185
162.0	1.171
164.0	1.152
165.0	1.141
166.0	1.132
168.0	1.114
170.0	1.098
172.0	1.080
174.0	1.062
175.0	1.055
176.0	1.047
178.0	1.031
180.0	1.015
182.0	0.9980
184.0	0.9830
185.0	0.9760
186.0	0.9690
188.0	0.9536
190.0	0.9387
192.0	0.9238
194.0	0.9090
195.0	0.9018
196.0	0.8953
198.0	0.8819
200.0	0.8685
202.0	0.8568
204.0	0.8456
206.0	0.8356
208.0	0.8259
210.0	0.8163
212.0	0.8067
214.0	0.7970
216.0	0.7873
218.0	0.7776
220.0	0.7677
222.0	0.7579
224.0	0.7481
226.0	0.7381
228.0	0.7287
230.0	0.7190
232.0	0.7095
234.0	0.6999
236.0	0.6903
238.0	0.6806
240.0	0.6703
242.0	0.6604
244.0	0.6506
246.0	0.6410
248.0	0.6319
250.0	0.6225
252.0	0.6136
254.0	0.6050
256.0	0.5964
258.0	0.5879
260.0	0.5797
262.0	0.5714
264.0	0.5636
266.0	0.5554
268.0	0.5477
270.0	0.5401
272.0	0.5328
274.0	0.5255
276.0	0.5184
278.0	0.5115
280.0	0.5045
282.0	0.4978
284.0	0.4911
286.0	0.4845
288.0	0.4780
290.0	0.4716
295.0	0.4562
300.0	0.4408
305.0	0.4266
310.0	0.4131
315.0	0.3999
320.0	0.3875
325.0	0.3753
330.0	0.3637
335.0	0.3526
340.0	0.3422
345.0	0.3303
350.0	0.3200
360.0	0.3028
370.0	0.2896
380.0	0.2776
390.0	0.2660
400.0	0.2543
420.0	0.2317
440.0	0.2103
450.0	0.2002
460.0	0.1905
480.0	0.1724
500.0	0.1561
520.0	0.1414
540.0	0.1283
550.0	0.1223
560.0	0.1166
580.0	0.1062
600.0	0.09688
620.0	0.08861
640.0	0.08121
650.0	0.07784
660.0	0.07459
680.0	0.06865
700.0	0.06330
720.0	0.05853
740.0	0.05420
750.0	0.05235
760.0	0.05032
780.0	0.04682
800.0	0.04365
820.0	0.04078
840.0	0.03815
850.0	0.03706
860.0	0.03579
880.0	0.03363
900.0	0.03164
920.0	0.02986
940.0	0.02820
950.0	0.02745
960.0	0.02669
980.0	0.02524
1000.0	0.02399
